@relation derived_cust_fin_validate_R_Feb14-2015_weka-weka.filters.unsupervised.attribute.Remove-R18-19-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute spatial-radial_div numeric
@attribute spatial-radial_loy numeric
@attribute spatial-radial_reg numeric
@attribute weekly_div numeric
@attribute weekly_loy numeric
@attribute weekly_reg numeric
@attribute hourly_div numeric
@attribute hourly_loy numeric
@attribute hourly_reg numeric
@attribute spatial-grid_div numeric
@attribute spatial-grid_loy numeric
@attribute spatial-grid_reg numeric
@attribute age numeric
@attribute gender {Male,Female}
@attribute marital {Married,Single,Divorced,Unknown}
@attribute education {'High School','Middle School',College,'Primary School',Master,PHD,Unknown}
@attribute working {'Private Sector Employee','Public Servant','Self-Employed - Retail','Retiree & Non-Employed','Self-Employed - Service',Non-Employed,'Retiree & Private Sector Employee','Self-Employed - Manufacture',Unknown,'Other Income',Housewife,'Retiree & Public Servant',Student,'Retiree & Self -Employed'}
@attribute Trouble {0,1}

@data
?,?,?,0.841988,0.804348,0.907492,0.874692,0.521739,0.925665,?,?,?,43,Male,Married,'High School','Private Sector Employee',0
?,?,?,0.973678,0.5625,0.952046,0.95606,0.5,0.64556,?,?,?,35,Male,Married,'High School','Private Sector Employee',0
?,?,?,0.989789,0.52,0.84813,0.920249,0.64,0.808886,?,?,?,50,Male,Single,'Middle School','Private Sector Employee',0
?,?,?,0.773977,0.962963,0.943141,0.915089,0.666667,0.759195,?,?,?,34,Male,Single,College,'Public Servant',0
?,?,?,0.924043,0.666667,0.933039,0.924801,0.611111,0.896933,?,?,?,50,Male,Married,'Primary School','Private Sector Employee',0
?,?,?,0.967489,0.7,0.785035,0.947731,0.9,0.920213,?,?,?,71,Male,Married,'Primary School','Self-Employed - Retail',0
?,?,?,0.947354,0.769231,0.942027,0.869726,0.692308,0.898533,?,?,?,41,Male,Married,'Primary School','Public Servant',0
?,?,?,0.983251,0.512821,0.976241,0.94324,0.435897,0.922527,?,?,?,35,Male,Married,'Middle School','Private Sector Employee',0
?,?,?,0.834202,1,0.41013,0.973215,0.545455,0.67803,?,?,?,30,Male,Single,'High School','Private Sector Employee',0
?,?,?,0.945143,0.604651,0.72039,0.613308,0.813953,0.893899,?,?,?,31,Female,Single,College,'Private Sector Employee',0
?,?,?,0.929641,0.695652,0.783709,0.946489,0.434783,0.877199,?,?,?,32,Male,Single,College,'Private Sector Employee',0
?,?,?,0.942157,0.846154,0.890466,0.968632,0.538462,0.673589,?,?,?,62,Male,Married,College,'Private Sector Employee',0
?,?,?,0.987099,0.525253,0.953804,0.392241,0.858586,0.919954,?,?,?,25,Male,Single,College,'Private Sector Employee',0
?,?,?,0.913865,0.8,0.85672,0.984859,0.4,0.752281,?,?,?,48,Male,Married,'High School','Public Servant',0
?,?,?,0.862204,0.928571,0.93578,0.859813,0.714286,0.793781,?,?,?,29,Female,Single,'High School','Private Sector Employee',0
?,?,?,0.909962,0.75,0.954809,0.964145,0.4375,0.973872,?,?,?,42,Male,Single,College,'Private Sector Employee',0
?,?,?,0.952415,0.566667,0.868856,0.919285,0.5,0.961811,?,?,?,56,Male,Married,'High School','Private Sector Employee',0
?,?,?,0.927143,0.923077,0.945412,0.975006,0.461538,0.967566,?,?,?,41,Male,Married,'Primary School','Private Sector Employee',0
?,?,?,0.883633,0.75,0.821532,0.953352,0.5,0.644911,?,?,?,50,Male,Married,'High School','Retiree & Non-Employed',0
?,?,?,0.849185,0.818182,0.843073,0.859661,0.727273,0.783955,?,?,?,43,Male,Married,College,'Private Sector Employee',0
?,?,?,0.949689,0.705882,0.297001,0.940727,0.588235,0.708407,?,?,?,34,Male,Married,'High School','Public Servant',0
?,?,?,0.955233,0.647059,0.980551,0.964526,0.470588,0.939754,?,?,?,30,Male,Married,'Middle School','Private Sector Employee',1
?,?,?,0.908264,0.653846,0.94236,0.903164,0.538462,0.774298,?,?,?,23,Male,Single,'High School','Private Sector Employee',0
?,?,?,0.962329,0.5625,0.830952,0.914109,0.46875,0.905019,?,?,?,57,Male,Married,'Primary School','Public Servant',1
?,?,?,0.860773,0.823529,0.868754,0.903882,0.882353,0.892577,?,?,?,20,Female,Single,'High School','Private Sector Employee',1
?,?,?,0.912207,0.818182,0.963204,0.94877,0.636364,0.955577,?,?,?,31,Female,Married,'High School','Private Sector Employee',0
?,?,?,0.844757,0.789474,0.95134,0.868429,0.631579,0.932351,?,?,?,52,Female,Divorced,'High School','Self-Employed - Service',0
?,?,?,0.930257,0.666667,0.764022,0.645595,0.833333,0.756835,?,?,?,28,Male,Single,College,'Private Sector Employee',0
?,?,?,0.944638,0.615385,0.885165,0.969245,0.346154,0.929863,?,?,?,27,Male,Single,'High School','Private Sector Employee',0
?,?,?,0.889307,0.785714,0.843192,0.76082,0.928571,0.823494,?,?,?,45,Male,Married,'Middle School','Private Sector Employee',0
?,?,?,0.942631,0.75,0.962343,0.709148,0.916667,0.875048,?,?,?,38,Female,Divorced,Master,Non-Employed,0
?,?,?,0.838369,0.909091,0.403709,0.98666,0.363636,0.549924,?,?,?,54,Male,Married,'High School','Retiree & Non-Employed',0
?,?,?,0.889721,0.727273,0.791984,0.878741,0.818182,0.868428,?,?,?,38,Male,Married,'Primary School','Public Servant',0
?,?,?,0.943477,0.613636,0.279089,0.931115,0.363636,0.202524,0.961142,0.285714,0.153242,61,Male,Married,'High School','Retiree & Non-Employed',0
0.832692,0.706667,0.85061,0.987416,0.513274,0.959004,0.927221,0.318584,0.965961,0.903389,0.32,0.835288,31,Male,Married,'Primary School','Private Sector Employee',0
0.777112,0.809524,0.832349,0.970657,0.568627,0.694865,0.929055,0.411765,0.88242,0.976085,0.333333,0.983089,36,Male,Married,College,'Private Sector Employee',0
0.805398,0.765957,0.874413,0.986537,0.513889,0.77824,0.938841,0.333333,0.900623,0.912818,0.361702,0.971025,47,Male,Married,College,'Private Sector Employee',1
0.924801,0.875,0.89685,0.930698,0.634615,0.937361,0.939169,0.365385,0.975091,0.975594,0.375,0.970246,32,Male,Married,'High School','Private Sector Employee',0
0.883141,0.78125,0.923737,0.840927,0.795918,0.917336,0.936082,0.367347,0.846746,0.944851,0.375,0.809371,50,Male,Married,College,'Public Servant',0
0.830026,0.680851,0.896133,0.972017,0.576271,0.865184,0.92108,0.372881,0.7226,0.91747,0.382979,0.946702,30,Female,Married,'High School','Public Servant',0
0.850003,1,0.398957,0.889947,0.695652,0.865615,0.872713,0.550725,0.915053,0.94757,0.388889,0.202709,24,Male,Single,College,'Private Sector Employee',0
0.82033,0.892857,0.873344,0.972904,0.575,0.955669,0.940396,0.375,0.815093,0.937723,0.392857,0.986413,28,Male,Single,'Primary School','Private Sector Employee',0
0.835975,0.7,0.758231,0.940958,0.611111,0.719814,0.922583,0.5,0.910576,0.984859,0.4,0.928483,27,Male,Single,'High School','Private Sector Employee',0
0.934978,0.8,0.851292,0.953216,0.777778,0.307901,0.941618,0.5,0.644045,0.984859,0.4,0.928483,33,Male,Single,College,'Private Sector Employee',0
