spatial-radial_div,spatial-radial_loy,spatial-radial_reg,weekly_div,weekly_loy,weekly_reg,hourly_div,hourly_loy,hourly_reg,spatial-grid_div,spatial-grid_loy,spatial-grid_reg,age,gender,marital,education,working,OS1Class,DaysClass1,Trouble
NA,NA,NA,0.841987824,0.804347826,0.9074916,0.874692437,0.52173913,0.925664503,NA,NA,NA,43,Male,Married,High School,Private Sector Employee,1,0,0
NA,NA,NA,0.973677597,0.5625,0.952046278,0.956060178,0.5,0.645559583,NA,NA,NA,35,Male,Married,High School,Private Sector Employee,1,0,0
NA,NA,NA,0.98978884,0.52,0.848129517,0.920248868,0.64,0.808885879,NA,NA,NA,50,Male,Single,Middle School,Private Sector Employee,0,1,0
NA,NA,NA,0.773977428,0.962962963,0.943140877,0.915088514,0.666666667,0.759194642,NA,NA,NA,34,Male,Single,College,Public Servant,0,1,0
NA,NA,NA,0.924043437,0.666666667,0.933039047,0.92480064,0.611111111,0.89693285,NA,NA,NA,50,Male,Married,Primary School,Private Sector Employee,0,1,0
NA,NA,NA,0.967488765,0.7,0.785034951,0.947730922,0.9,0.920212606,NA,NA,NA,71,Male,Married,Primary School,Self-Employed - Retail,0,0,0
NA,NA,NA,0.947353968,0.769230769,0.942027107,0.869726109,0.692307692,0.898532638,NA,NA,NA,41,Male,Married,Primary School,Public Servant,0,1,0
NA,NA,NA,0.983250797,0.512820513,0.976240837,0.943240179,0.435897436,0.922526777,NA,NA,NA,35,Male,Married,Middle School,Private Sector Employee,0,1,0
NA,NA,NA,0.834202289,1,0.410129905,0.973214633,0.545454545,0.678030261,NA,NA,NA,30,Male,Single,High School,Private Sector Employee,1,0,0
NA,NA,NA,0.94514268,0.604651163,0.720390178,0.613308033,0.813953488,0.893899286,NA,NA,NA,31,Female,Single,College,Private Sector Employee,0,1,0
NA,NA,NA,0.929641357,0.695652174,0.7837094,0.946488889,0.434782609,0.87719889,NA,NA,NA,32,Male,Single,College,Private Sector Employee,0,1,0
NA,NA,NA,0.942156764,0.846153846,0.890466282,0.968632254,0.538461538,0.673588945,NA,NA,NA,62,Male,Married,College,Private Sector Employee,1,0,0
NA,NA,NA,0.987099114,0.525252525,0.953804216,0.392241332,0.858585859,0.919954297,NA,NA,NA,25,Male,Single,College,Private Sector Employee,1,1,0
NA,NA,NA,0.913864688,0.8,0.856720209,0.984858662,0.4,0.752281147,NA,NA,NA,48,Male,Married,High School,Public Servant,0,0,0
NA,NA,NA,0.862203909,0.928571429,0.93578028,0.859812753,0.714285714,0.793780549,NA,NA,NA,29,Female,Single,High School,Private Sector Employee,1,0,0
NA,NA,NA,0.90996175,0.75,0.954809085,0.96414475,0.4375,0.973872253,NA,NA,NA,42,Male,Single,College,Private Sector Employee,0,1,0
NA,NA,NA,0.952414896,0.566666667,0.868855837,0.919284571,0.5,0.961811283,NA,NA,NA,56,Male,Married,High School,Private Sector Employee,1,0,0
NA,NA,NA,0.927142936,0.923076923,0.945411949,0.975006431,0.461538462,0.967565694,NA,NA,NA,41,Male,Married,Primary School,Private Sector Employee,1,0,0
